_id,type,name,brand,category,subCategory,description,images[0].url,price,priceSale,metaTitle
6800b25827ad31a02ab4893a,simple,Samsung Galaxy A54 5G,Samsung,Mobile Phone,Android,"<p><span style=""color: rgb(0, 0, 0); background-color: rgb(255, 255, 255);"">Mid-range smartphone with Exynos 1380, 8GB RAM, 128GB storage, 6.4"" FHD+ AMOLED, 50MP triple camera. Dimensions: 158.2 x 76.7 x 8.2 mm.</span></p>",https://db9zz6qe5c0xt.cloudfront.net/1744876058402-9o43jhb3zs.jpg,34999,30000,Samsung Galaxy A54 5G
6800b3f827ad31a02ab48aff,simple,ArmorShield S25 Ultra,Samsung,Accessories,Tempered glass,"<p><span style=""background-color: rgb(255, 255, 255); color: rgb(0, 0, 0);"">Ultra-thin, shatterproof tempered glass protector for Samsung Galaxy S25 Ultra, with enhanced touch sensitivity and oleophobic coating.</span></p>",https://db9zz6qe5c0xt.cloudfront.net/1744876533202-kzecs9qb5vr.jpg,999,699,ArmorShield S25 Ultra Screen Protector
6800b58727ad31a02ab48c59,simple,FlexiGuard Backcase for Galaxy S25 Ultra,Samsung,Accessories,Back case,"<p><span style=""background-color: rgb(255, 255, 255); color: rgb(0, 0, 0);"">Ultra-flex TPU case with anti-slip grip and camera lens protection. Dimensions: 6.5"" x 3.2"" x 0.45""</span></p>",https://db9zz6qe5c0xt.cloudfront.net/1744876932118-uezge8j2wft.webp,1899,1399,ArmorShield Backcase for Samsung Galaxy S23 Ultra
6800ba5927ad31a02ab4908a,simple,PixelCharge 30W USB-C Charger for Pixel 9,Google Pixel,Accessories,Charger,"<p><span style=""background-color: rgb(255, 255, 255); color: rgb(36, 36, 36);"">30W USB-C charger with fast charging capabilities for Pixel 9. Compact, efficient, and travel-friendly. Dimensions: 2.5"" x 1.5"" x 1""</span></p>",https://db9zz6qe5c0xt.cloudfront.net/1744878138739-7v12eew3evy.webp,1999,1499,PixelCharge 30W USB-C Charger for Google Pixel 9
6800bb8b27ad31a02ab491e9,simple,PixelGuard Armor Case for Pixel 9,Google Pixel,Accessories,Back case,"<p><span style=""background-color: rgb(255, 255, 255); color: rgb(36, 36, 36);"">Heavy-duty case with shock-absorbing bumpers and raised screen protection. Dimensions: 6.0"" x 2.9"" x 0.42""</span></p>",https://db9zz6qe5c0xt.cloudfront.net/1744878415262-n4wfdwfmwgr.webp,1499,999,PixelGuard Armor Case for Google Pixel 9
6800e14127ad31a02ab4c60e,simple,iPhone 16 Plus,Apple,Mobile Phone,ios,"<p>Features A18 Bionic chip, 6.7"" OLED display, 48MP main camera, available in 128GB, 256GB, 512GB storage options. Dimensions: 160.8 x 78.1 x 7.8 mm.</p>",https://db9zz6qe5c0xt.cloudfront.net/1744888124080-mh2hlo7tc2g.webp,89900,83900,iPhone 16 Plus 128GB
6800e2fa27ad31a02ab4c7d9,simple,iPhone 16 Plus Tempered Glass,Apple,Accessories,Tempered glass,<p>Ultra-clear tempered glass for iPhone 16 Plus</p>,https://db9zz6qe5c0xt.cloudfront.net/1744888547684-zpyr8f0baz.jpg,899,599,iPhone 16 Plus Tempered Glass
6800e3f627ad31a02ab4c921,simple,iPhone 16 Plus Tempered Glass,Apple,Accessories,Tempered glass,<p>9H hardness tempered glass for iPhone 16 Plus</p>,https://db9zz6qe5c0xt.cloudfront.net/1744888789749-6kc53dqxg4.jpg,999,797,iPhone 16 Plus Tempered Glass
6800e4ff27ad31a02ab4ca07,simple,T-Mobile ClearShield Case for iPhone 16 Plus,Apple,Accessories,Back case,"<p>Transparent and lightweight with reinforced corners, scratch-resistant for iPhone 16 Plus. Dimensions: 6.3"" x 3.0"" x 0.4""</p>",https://db9zz6qe5c0xt.cloudfront.net/1744889065679-j6ctf62e5td.jpg,1399,949,T-Mobile ClearShield Case for iPhone 16 Plus
6800e59227ad31a02ab4ca97,simple,T-Mobile SlimArmor Case for iPhone 16 Plus,Apple,Accessories,Back case,"<p>Ultra-slim, dual-layer with impact resistance and soft matte finish. Dimensions: 6.3"" x 3.0"" x 0.42""</p>",https://db9zz6qe5c0xt.cloudfront.net/1744889149645-dljd8cyyu05.webp,1499,997,T-Mobile SlimArmor Case for iPhone 16 Plus
6800e61927ad31a02ab4cb10,simple,TurboBoost 18W Wall Charger for iPhone 16 Plus,Apple,Accessories,Charger,"<p>18W fast charging wall adapter, compatible with iPhone 16 Plus for quick and efficient charging. Dimensions: 2.3"" x 1.4"" x 1""</p>",https://db9zz6qe5c0xt.cloudfront.net/1744889366912-1l5pruvfa64.webp,1299,949,TurboBoost 18W Wall Charger for iPhone 16 Plus
6800e6ee27ad31a02ab4cbcd,simple,UltraPower 20W Fast Charger for iPhone 16 Series,Apple,Accessories,Charger,"<p>20W fast charging for iPhone 16, 16 Plus, 16 Pro, and 16 Pro Max. Quick and efficient charging with a compact design. Dimensions: 2.4"" x 1.6"" x 1""</p>",https://db9zz6qe5c0xt.cloudfront.net/1744889579061-2mc9umm6dpj.jpg,1499,1099,UltraPower 20W Fast Charger for iPhone 16 Series
6800e79227ad31a02ab4cc5a,simple,Apple AirPods Pro 2nd Gen,Apple,Accessories,Earphones/Headphones,<p>Premium in-ear headphones with the latest H2 chip for better sound and noise cancellation. Ideal for the iPhone 16 series.</p>,https://db9zz6qe5c0xt.cloudfront.net/1744889741576-72l660ippu8.jpeg,24999,23000,Apple AirPods Pro 2nd Gen
6800e9b527ad31a02ab4cdfb,simple,iPhone 16 Pro Max Tempered Glass,Apple,Accessories,Tempered glass,<p>Scratch-resistant tempered glass for iPhone 16 Pro Max</p>,https://db9zz6qe5c0xt.cloudfront.net/1744890273612-zo16o9khw5.jpg,999,799,iPhone 16 Pro  Max Tempered Glass
6800ea6627ad31a02ab4ce59,simple,F-Mobile MaxGuard Case for iPhone 16 Pro Max,Apple,Accessories,Back case,"<p>Reinforced backcase with shockproof edges and crystal-clear back. Dimensions: 6.7"" x 3.2"" x 0.5""</p>",https://db9zz6qe5c0xt.cloudfront.net/1744890451539-roybphub3s9.jpg,1799,1300,F-Mobile MaxGuard Case for iPhone 16 Pro Max
6800eb3127ad31a02ab4d043,simple,QuickPower 20W Wall Charger for iPhone 16 Pro Max,Apple,Accessories,Charger,"<p>20W fast charging with USB-C PD support, ideal for iPhone 16 Pro Max. Compact and durable for everyday use. Dimensions: 2.5"" x 1.5"" x 1""</p>",https://db9zz6qe5c0xt.cloudfront.net/1744890668536-1rcsiotz4iw.jpg,1699,1249,QuickPower 20W Wall Charger for iPhone 16 Pro Max
6800ebdb27ad31a02ab4d239,simple,UltraPower 20W Fast Charger for iPhone 16 Series,Apple,Accessories,Charger,"<p>20W fast charging for iPhone 16, 16 Plus, 16 Pro, and 16 Pro Max. Quick and efficient charging with a compact design. Dimensions: 2.4"" x 1.6"" x 1""</p>",https://db9zz6qe5c0xt.cloudfront.net/1744890823942-d16kcbedx9f.webp,1499,1097,UltraPower 20W Fast Charger for iPhone 16 Series
6800ec8227ad31a02ab4d32c,simple,Apple Beats Studio3 Wireless,Apple,Accessories,Earphones/Headphones,"<p>Over-ear wireless headphones with premium sound quality and adaptive noise canceling, perfect for the iPhone 16 and 15 series.</p>",https://db9zz6qe5c0xt.cloudfront.net/1744890975083-tikxg671ecf.jpeg,29999,27997,Apple Beats Studio3 Wireless
6800ed3b27ad31a02ab4d432,simple,Apple AirPods Max,Apple,Accessories,Earphones/Headphones,<p>Premium over-ear headphones with active noise cancellation and high-fidelity audio. Compatible with all iPhone models including iPhone 15/16.</p>,https://db9zz6qe5c0xt.cloudfront.net/1744891114668-dqjsga6oend.jpeg,59999,52999,Apple AirPods Max
6800ee5327ad31a02ab4d51e,simple,FoldSecure Backcase for Galaxy Z Fold 5,Samsung,Accessories,Back case,"<p><span style=""background-color: rgb(255, 255, 255); color: rgb(0, 0, 0);"">Premium fold-compatible hard case with hinge protection and shock resistance. Dimensions: 6.1"" x 2.6"" x 0.6"" (folded)</span></p>",https://db9zz6qe5c0xt.cloudfront.net/1744891472316-myx14yncmke.jpg,2499,1799,FoldSecure Backcase for Samsung Galaxy Z Fold 5
6800ee6127ad31a02ab4d53e,simple,iPhone 16,Apple,Mobile Phone,ios,"<p>Features A18 Bionic chip, 6.1"" OLED display, 48MP main camera, available in 128GB, 256GB, 512GB storage options. Dimensions: 146.7 x 71.5 x 7.6 mm.</p>",https://db9zz6qe5c0xt.cloudfront.net/1744891402831-conkb2oxfyr.webp,69900,69600,iPhone 16
6800ef3e27ad31a02ab4d6c8,simple,iPhone 16 Tempered Glass,Apple,Accessories,Tempered glass,<p>Premium tempered glass for iPhone 16</p>,https://db9zz6qe5c0xt.cloudfront.net/1744891703651-n9jx20icx4c.webp,799,499,iPhone 16 Tempered Glass
6800efc527ad31a02ab4d761,simple,T-Mobile ShockGuard Backcase for iPhone 16,Apple,Accessories,Back case,"<p>Durable shock-absorbing case with full-back protection, scratch resistance, and snug fit for iPhone 16. Dimensions: 5.8"" x 2.8"" x 0.4""</p>",https://db9zz6qe5c0xt.cloudfront.net/1744891828155-f02yibjmag.jpg,1499,999,T-Mobile ShockGuard Backcase for iPhone 16
6800eff827ad31a02ab4d79c,simple,CrystalGuard Z Fold 5,Samsung,Accessories,Tempered glass,"<p><span style=""background-color: rgb(255, 255, 255); color: rgb(0, 0, 0);"">Curved edge tempered glass for Samsung Galaxy Z Fold 5, providing full front and back screen protection with enhanced durability.</span></p>",https://db9zz6qe5c0xt.cloudfront.net/1744891892331-mijldndr6rl.jpg,1299,999,CrystalGuard Z Fold 5 Screen Protector
6800f03e27ad31a02ab4d7c1,simple,SwiftCharge 30W Adapter for iPhone 16,Apple,Accessories,Charger,"<p>30W USB-C charger with fast charging capability for iPhone 16. Compact, durable, and efficient. Dimensions: 2.5"" x 1.5"" x 1""</p>",https://db9zz6qe5c0xt.cloudfront.net/1744891962152-4uwwsom9qu6.jpeg,1499,1099,SwiftCharge 30W Adapter for iPhone 16
6800f13327ad31a02ab4d86c,simple,Beats Studio Buds +,Apple,Accessories,Earphones/Headphones,"<p>ANC, Transparency Mode, USB-C charging, native iPhone 16 pairing. Comfortable for long meetings on iPhone 16"".</p>",https://db9zz6qe5c0xt.cloudfront.net/1744892195881-t2p63b5cbcg.jpeg,18999,16499,Beats Studio Buds +
6800f29327ad31a02ab4da82,simple,Samsung Galaxy S25 Ultra,Samsung,Mobile Phone,Android,"<p><span style=""background-color: rgb(255, 255, 255); color: rgb(0, 0, 0);"">Premium model featuring Snapdragon 8 Elite, 12GB RAM, 256GB storage, 6.9"" QHD+ AMOLED, 200MP quad camera. Dimensions: 164.4 x 79.0 x 8.8 mm.</span></p>",https://db9zz6qe5c0xt.cloudfront.net/1744892516880-52uwze3sqtc.png,129999,124988,Samsung Galaxy S25 Ultra
6800f33227ad31a02ab4db21,simple,Google Pixel 9 Pro,Google Pixel,Mobile Phone,Android,"<p>Features Tensor G4 chip, 6.7"" OLED display, 50MP + 48MP + 48MP triple rear cameras, 16GB RAM, 256GB storage. Dimensions: 163.9 x 75.8 x 8.9 mm.</p>",https://db9zz6qe5c0xt.cloudfront.net/1744892718552-u1bq0qv0r5a.jpg,109999,99999,Google Pixel 9 Pro 256GB
6800f34927ad31a02ab4db84,simple,Google Pixel 8,Google Pixel,Mobile Phone,Android,"<p>Features Tensor G3 chip, 6.2"" OLED display, 50MP + 12MP dual rear cameras, 8GB RAM, 128GB storage. Dimensions: 151.5 x 70.8 x 8.9 mm.</p>",https://db9zz6qe5c0xt.cloudfront.net/1744892725330-zfqy22b1wcl.webp,62999,59999,Google Pixel 8 128GB
6800f3d427ad31a02ab4dc1b,simple,Pixel 8 Screen Guard,Google Pixel,Accessories,Tempered glass,"<p>High-transparency tempered glass with anti-shatter film, easy to install</p>",https://db9zz6qe5c0xt.cloudfront.net/1744892880997-z4fjqsq2g0s.jpg,649,449,Caseology 9H HD Glass for Pixel 8
6800f3fe27ad31a02ab4dc6b,add-ons,Tempered Glass for Google Pixel 9 Pro,Google Pixel,Accessories,Tempered glass,"<p>Ultra-clear screen protector with 9H hardness, scratch &amp; impact resistant, full-screen coverage</p>",https://db9zz6qe5c0xt.cloudfront.net/1744892888819-9ohbhk4xtcl.jpg,699,499,Spigen 9H Glass Screen Protector for Pixel 9
6800f47227ad31a02ab4dcdb,simple,GripLite Silicone Case for Pixel 8,Google Pixel,Accessories,Back case,"<p>Smooth matte silicone case with soft microfiber lining and drop protection. Dimensions: 6.0"" x 2.9"" x 0.4""</p>",https://db9zz6qe5c0xt.cloudfront.net/1744893020354-2z072q606yx.jpg,1199,849,GripLite Silicone Case for Google Pixel 8
6800f4ac27ad31a02ab4dd32,simple,PixelGuard Armor Case for Pixel 9 pro,Google Pixel,Accessories,Back case,"<p>Heavy-duty case with shock-absorbing bumpers and raised screen protection. Dimensions: 6.0"" x 2.9"" x 0.42""</p>",https://db9zz6qe5c0xt.cloudfront.net/1744893084106-g7b5lb1iwxi.jpg,1499,999,PixelGuard Armor Case for Google Pixel 9
6800f52727ad31a02ab4ddd6,add-ons,PixelCharge 30W USB-C Charger for Pixel 9 pro,Google Pixel,Accessories,Charger,"<p>30W USB-C charger with fast charging capabilities for Pixel 9. Compact, efficient, and travel-friendly. Dimensions: 2.5"" x 1.5"" x 1""</p>",https://db9zz6qe5c0xt.cloudfront.net/1744893220390-6fb5zrcjdp4.jpg,1999,1499,PixelCharge 30W USB-C Charger for Google Pixel 9
6800f5ab27ad31a02ab4de6f,add-ons,Google Pixel Buds Pro,Google Pixel,Accessories,Earphones/Headphones,"<p>True wireless earbuds with Active Noise Cancellation, custom 11mm drivers, IPX4 water resistance, and 31-hour battery life. Designed for Pixel 9/9 Pro. Dimensions: 22.33 x 22.03 x 23.72 mm.</p>",https://db9zz6qe5c0xt.cloudfront.net/1744893350372-7652gn3dcb9.webp,19999,17999,Pixel Buds Pro for Pixel 9 & 9 Pro
6800f65027ad31a02ab4deda,simple,QuickCharge 18W USB-C Adapter for Pixel 8,Google Pixel,Accessories,Charger,"<p>18W USB-C charger for fast charging Pixel 8, compact design with reliable performance. Dimensions: 2.3"" x 1.4"" x 1""</p>",https://db9zz6qe5c0xt.cloudfront.net/1744893509454-xej2bnb8o8.webp,1499,1099,QuickCharge 18W USB-C Adapter for Google Pixel 8
6800f6d227ad31a02ab4df42,simple,Google Pixel Buds A-Series,Google Pixel,Accessories,Earphones/Headphones,"<p>Compact earbuds with rich sound, seamless integration with Google Assistant, and easy pairing for Pixel 8 and 8 Pro.</p>",https://db9zz6qe5c0xt.cloudfront.net/1744893636345-4jw8exa7zle.webp,9999,8499,Pixel Buds A-Series for Pixel 8
6801e87b27ad31a02ab4ecf4,simple,Samsung Galaxy Z Fold 5,Samsung,Mobile Phone,Android,"<p>Foldable smartphone with Snapdragon 8 Gen 2, 12GB RAM, 256GB storage, 7.6"" Foldable Dynamic AMOLED, 50MP triple camera. Dimensions: 154.9 x 129.9 x 6.1 mm (Folded).</p>",https://db9zz6qe5c0xt.cloudfront.net/1744955508523-269fp04k855.webp,184999,179999,Samsung Galaxy Z Fold 5
